sentence_id,sentence_text,label,annotator
18205,He is so helpful  u2764 ufe0f,0,clara
25956,He said that he would get us a room right then and we could relax before our breakfast.,0,clara
53780,so I could get off the property and meet up with local friends easily.,0,clara
11501,Lots of caf u00e9 and bar choices.,0,clara
52673,more cities should emulate such a convention zone..,0,clara
24668,At night the sky park was lit up and views were wonderful.,0,clara
53270,"Service was sometimes slow and especially ordering things (ie. pillows/sheets) to the room took over an hour, but I guess you would expect that from such a large hotel.",0,clara
23891,Thank you James for giving us an opportunity to enjoy the pool with my family and kids..,0,clara
28403,The balcony was big and private enough that you can comfortably sit back and relax and enjoy the view day or night.,0,clara
55555,"people, place and climate all great.",0,clara
55573,Got out of hand before the staff could realise.,0,clara
1425,The coffee maker brewed fresh coffee.,0,clara
12071,Great room and amenities.,0,clara
15116,"The room was fantastic, clean and spacious.",0,clara
55869,"The pool is spectacular, with a wonderful view and it was big enough to cater for the crowd.",0,clara
17046,The hotel and complex is excellent and it 's very true that you get what you pay for.,0,clara
45013,My husband and I spent one night (and only one!!!,0,clara
49266,- There is a food court at the end of the shopping plaza where you can buy really cheap meals; it's chaotic with tons of people but pretty good food.,0,clara
2688,"Australia is the best country, however we could learn a lot from Singapore about Harmony, respect and human decency.",0,clara
29338,Sands have many dining options and they serve almost every cuisine in the world.,0,clara
13595,"Lots to do, you need to visit it at day and night!",0,clara
15809,"In terms of the overall hotel you need to remember that this place is a destination in its own right, and it is huge.",0,clara
16030,"The staff are really thoughtful and very accommodating, the rooms are really spacious and luxurious and the surrounding view is so lovely.",0,clara
52767,The staff is extremely friendly and fast.,0,clara
60110,we could see the Garden by the bay absolutely breath taking view especially at the night time.,0,clara
54893,It is very famous but it is not so crowded.,0,clara
56624,"We arrived around noon and our room wasn't ready, but we could leave our bags at the reception desk and get to the pool.",0,clara
46647,but I recommend it if you get a sunny day.,1,clara
62510,"Can enjoy water show in the evening, casino and shopping inside the hotel.",0,clara
65482,"However please note can get very crowed, especially on weekends and always keep a eye out for the Selfie Sticks...pointing in every possibly direction!",1,clara
35923,The hotel accommodated to our 3rd guest with a nice proper roll-out bed which was just as comfortable (it JUST fitted in between the twin beds so families be warned).,0,clara
64312,We arrived at 5pm on Thursday and thought it was going to be busy,0,clara
10909,"Nonetheless, I would probably stay here again.",0,clara
19852,No tipping required service charge and government tax are added.,0,clara
54741,It's a grand hotel and our deluxe suite was just incredible with beautiful sea views.,0,clara
55530,A++++++ awesome and fabulous views the lunch was awesome we had a three course meal it was professional would definitely go back!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0,clara
56601,The room has good seaview.,0,clara
49538,"Only hotel guests are allowed to access the pool, which is a wonderful thing as I'm sure everyone would be there otherwise!",0,clara
44478,Love the location.,0,clara
56662,"Ok to stay for 1-2 nights, but more would be to much.",0,clara
18376,**Room view ::    Please refer the hotel website for clear understanding of each room type and view.,0,clara
38648,"Nonetheless, well worth it.",0,clara
53903,"I highly recommend this hotel however please not it is pretty expensive, even the cafes/shops in the Shoppe are dear.",0,clara
17611,You have to be a hotel guest to try it,0,clara
37668,I wouldn't particularly recommend the room upgrade either.,1,clara
33663,You cannot missed this hotel when you are going to visit Singapore.,0,clara
43164,I'll post pics when I transfer from my GoPro.,0,clara
54196,View is the same as we get in our room so we didn't really feel there was a need to go again.,0,clara
47404,The sky bar has great photo op and best time is around 630pm when dusk comes.,1,clara
32889,"Definitely should be your best choice,     I have always been a fan of the Marina Bay Pan Pacific but the this is my new hotel of choice.",0,clara
40153,One side looks across the harbour with its floating football pitch; the other side looks across the gardens and skywalk.,0,clara
32191,"Was a really nice hotel, great views of the marina and convenient to get to the shopping centre but not sure if I would stay again, due to the price.",0,clara
41576,"We stayed for just one night on the way to Thailand, and it was just amazing!",0,clara
63562,"Definitely recommend this hotel either family leisure or business trip, will definitely come back again.",0,clara
55143,"The day spa is fantastic, massages are world class.",0,clara
63490,"The pool of course is amazing and let's face it, everyday your in Singapore and your not staying at MBS you will be looking up thinking 'I should have booked it'.",0,clara
65202,unfortunately could not take a photo of the famous views of the swimming pool .,0,clara
47907,This will be my pick again should I come back to Singapore.,0,clara
69864,"Nevertheless, all in all I would recommend everybody who comes to Singapore to stay in this nice Hotel.",0,clara
68530,"Waiting tome for check in and check out were long, even if you stay in club room or suite.",0,clara
68412,Both rooms had that.,0,clara
67253,"We originally were told a meal could be prepared for our son that would be free of his allergens, only to be called back 30 minutes later stating this was not possible after all.",0,clara
1107,Particularly Mr. Sean had taken care that my 3 year old baby is also served well.,0,clara
64668,do go upto the pool if ur staying in there as swimmimg over singapore would make u feel larger than life.,1,clara
17268,Fitness aficionados must try the Banyan Tree Fitness Centre on level 55 of Tower 2.,1,clara
44412,Buffet spread in Rise is good but expansive & please make reservation should you plan to dine there.,1,clara
16039,The service provided was exceptional.,0,clara
27358,"The pool is worth the money alone it is amazing, there are plenty of sun beds, lovely fresh pool towels, waiter service everything you could want.",0,clara
54171,The huge window-wall - gives you amazing view at night.,0,clara
23285,Would love to be back one day.,0,clara
62526,"Because we were originally given a room in the right in front of the elevator with two adjoining rooms which were not soundproof at all, we requested a room change because of the noice and instead we were upgraded from a 500 sqft room on the 18th floor with a bay view, to a 1000 sqft on the 38th floor with a panoramic city view and were surprised to see that the room was double the size but with the exact same furnishings, leaving so much unused empty space in the room .",0,clara
51466,If you had mobility issues or you were unsteady on your feet I am not sure this would be a good option.,1,clara
50445,We had buffett breakfast downstairs with everything you would expect drinks in the main bar.,0,clara
37536,"breakfast was fantastic, expensive, but worth it, so make sure u are hungry is my bit of advice, kept us going the whole day!",1,clara
6694,Thank you for transferring this TODAY PLEASE deposit to me.,0,clara
