sentence_id,sentence_text,label
32237,No need to say about amazing view and good cocktails!,0
5529,"The lobby is alot like a Las Vegas hotel:  bustling, loud, almost over-stimulating.",0
64214,"Also, it might be worth getting the club rooms as well as you get added bonuses in the Club Lounge.",1
35923,The hotel accommodated to our 3rd guest with a nice proper roll-out bed which was just as comfortable (it JUST fitted in between the twin beds so families be warned).,0
50973,The city view was spectacular at night and bed was fantastically comfortable.,0
45248,"Totally commend this hotel what an amazing place, would definitely recommend to anyone going to Singapore, top star rating, thank you for such a fab stay",0
52767,The staff is extremely friendly and fast.,0
12082,Each one of them was very friendly and would do anything you asked them.,0
57307,Breakfast was very good with great waiting staff.,0
46801,Need to walk to Tower 1 where it linked to the Shoppes at Marina Bay Sands where abundance of mid-range and upmarket shopping and eating awaits.,0
67660,I stayed at the hotel on 3 March on the 42nd floor in Tower 3.,0
33774,We booked for a Grand Club Room.,0
10802,"However, even more annoying was, that the adults only whirpool was not really an adults only pool and neither the lifeguards, nor the pool guys, nor staff walking around in suits are able or willing to tell the kids/parents to keep this whirpool for adults only (please remark, there is also a family whirlpool).",0
17995,If your over due for some pampering and relaxation I highly recommend this property..,0
55530,A++++++ awesome and fabulous views the lunch was awesome we had a three course meal it was professional would definitely go back!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0
63852,"Checking out was fast, and again, the people who handled my bags were the genuine ones helping us keep our bags while we checked out, and assisted us all the way till we got our cab to head to the airport.",0
4263,SPAGO (POOL SIDE),0
66446,.make sure you have plenty of money you will need it.,1
15809,"In terms of the overall hotel you need to remember that this place is a destination in its own right, and it is huge.",0
54196,View is the same as we get in our room so we didn't really feel there was a need to go again.,0
32889,"Definitely should be your best choice,     I have always been a fan of the Marina Bay Pan Pacific but the this is my new hotel of choice.",0
2688,"Australia is the best country, however we could learn a lot from Singapore about Harmony, respect and human decency.",0
8801,"Either be a world class hotel or a Disney land attraction, but don 't try and be both.",1
19552,"because on the qualifying day we decided to be up in the bar instead of being on the track, so we chose to be in ce la vie, however on entering, the hostess told us that for us to find a table our minimum spend per person should be $250.",0
66524,We had a room on the 53rd floor with city view.,0
10909,"Nonetheless, I would probably stay here again.",0
7894,"would recommend this hotel, you need to see it .",0
61382,"A special mention goes to David the Food & Beverage Assistant Manager was so thoughtful we were waiting to be seated for breakfast and had to wait a while because of the volume of people , he went and got a chair for my daughter , very attentative and professional.",0
44729,"Don't hesitate to visit it, it's worth it.",1
54741,It's a grand hotel and our deluxe suite was just incredible with beautiful sea views.,0
26412,We spend most of our time at the pool from morning to night.,0
204,This could be a long overdue review since we stayed at Marina Bay Sands Singapore last 31st of July which was our most awaited honeymoon destination.,0
15317,I stayed here for 5 nights on my last trip and it could not have been better.,0
64885,Could not fault the service or the food.,0
5784,Breakfast was great and very large variety for all meal and food preferences.,0
27036,Be aware if you drink or eat in the hotel it 's very expensive.,1
63490,"The pool of course is amazing and let's face it, everyday your in Singapore and your not staying at MBS you will be looking up thinking 'I should have booked it'.",0
22436,Facilities were clean and well maintained  The Infinity Swimming Pool was the best highlight for my kids.,0
60756,I recommend this hotel as there's lots to do in and around and the rooftop pool is a must to swim in and take in the view....but chances are I would probably find alternative accommodations when I'm back in Singapore next.,1
8876,The infinity pool is amazing and if you stay at the hotel just to swim in that pool it would be well worth it.,0
9436,"We recently stayed in Singapore for 4 nights, 3 in a hotel on Clarke Quay and the last night in MBS, basically because that 's all we could afford!!",0
32191,"Was a really nice hotel, great views of the marina and convenient to get to the shopping centre but not sure if I would stay again, due to the price.",0
59548,Absolute comfort within the room and in every corner of the hotel.,0
29338,Sands have many dining options and they serve almost every cuisine in the world.,0
31897,"This is a fantastic hotel very welcoming and professional, we wish we could have stayed longer.",0
51019,Staff were always helpful & provided a cake for a recent birthday!!!,0
17441,This place is amazing and should be on everyone's bucket list.,0
9989,That would be a YES!!!,0
65482,"However please note can get very crowed, especially on weekends and always keep a eye out for the Selfie Sticks...pointing in every possibly direction!",1
66921,You will not be disappointed with this hotel!,0
43785,The pool is amazing during the day but even more spectacular at night.,0
51466,If you had mobility issues or you were unsteady on your feet I am not sure this would be a good option.,1
40238,One should be lucky to get space in the lift to get down to the lobby before 15 minutes.,0
58720,Nice view of Garden Garden By The Bay from the balcony.,0
30050,Sky desk & sky bar are both worth for going no matter in the day time or the night (make sure you wear some jackets) with the winds are quite big.,1
33340,Also if they could find a way to stop people just leaving their towels on the pool deck chairs all day then that would make it more fair for everyone.,1
55288,The infinity pool on top was fun to try.,0
28403,The balcony was big and private enough that you can comfortably sit back and relax and enjoy the view day or night.,0
62298,I would come back and stay again.,0
6561,"Or, walk to Singapore 's Civic District and its many historical and entertainment spots.    -",0
20638,We will be back to stay in this hotel again.,0
6409,The room is super spacious with amazing view of the skyline and harbourfront.,0
41935,We thoroughly enjoyed staying in this opulent hotel.,0
56736,There Sands SkyPark Observation Deck Take in the stunning views from the public observation deck at Marina Bay Sands.,0
31115,I don't think I had appreciated the sheer scale of the place and realized just how much it would feel like a huge Las Vegas hotel (I guess the clue was in the name!).,0
68347,"I like the room very much, I wa with my sister and dad.",0
13586,Not many people swimming though just seems everyone is taking selfies.,0
65533,The view from the room and the rooftop restaurant/bar is amazing and the infinity pool is definitely a must!!,0
53969,"To top it off, the city was preparing for the Formula 1 race, so everything was lit up at night.",0
12008,Service was superb.,0
61285,"The check-in staff was very polite and friendly; after finding out i had friends from overseas who would be staying with me, she upgraded me to a marina suite (1 size bigger).",0
63562,"Definitely recommend this hotel either family leisure or business trip, will definitely come back again.",0
36374,I would rate as the best.,0
40852,"He said it was opened yesterday and it could not be poured tomorrow, so we were welcome to the lot.",0
40752,You also need to ensure that nobody attempts to move or take out any items in the fridge as you will be billed automatically.,1
23947,Pros:  -great location.,0
52268,We stayed in the Deluxe Room with Garden View.,0
5481,"If you have the time and money to spend (not just for the viewing deck), maybe a special occasion, please stay here to experience the service, warmth, cleanliness, cuisine, infinity pool and breathtaking views of this iconic hotel.",0
52892,The highlight of this hotel is the infinity pool which is built on top of the building roof...,0
63738,We enjoyed the perks of the no entry fee when visiting SkyPark.,0
46555,I would stay here again for sure.,0
44312,Also the amount the block as a deposit ( cash or credit card ) is a larger sum which people should be aware of,1
41169,Not to bad for prices really normal city prices what you would expect to pay but especially cheap for the view you get and for how stunning the hotel is .,0
50574,"and I was among the lucky ones that could check in 3h earlier than the usual check-in time 3pm, which I think is freaking late.",0
18394,The most famous Singapore Sling a must try too.,1
15480,"The room was spacious and extremely comfortable, serviced daily and I was provided with more than I needed.",0
30995,For me this was the best part.,0
41576,"We stayed for just one night on the way to Thailand, and it was just amazing!",0
55555,"people, place and climate all great.",0
39121,"We went up to the pool just after we checked in, it was really busy we couldn't even get a bed at first then managed to get one looking over the gardens of the bay but because we wanted to get a good sunset video we moved to the city line view when beds were available.",0
62852,"At the Club Lounge later, the ladies manning the desk there were horrified at how I was treated.",0
4235,I would suggest the house keeping team could prepare a pair of scissors for guests to use in room.,1
3335,"What surprised me is the late check-in time, only starting at 3 pm and the early check-out at 11 am.",1
25956,He said that he would get us a room right then and we could relax before our breakfast.,0
27358,"The pool is worth the money alone it is amazing, there are plenty of sun beds, lovely fresh pool towels, waiter service everything you could want.",0
4055,It was a staycation and would say the money was worth it for.,0
11031,The charges may be optimized and some restaurants should be set up to offer vegetarian food.,1
33823,"Whereas at other hotels, you'll probably be looking only from behind the window glass.",0
11110,"And the rooftop pool,  unbelievable.",0
39670,Excellent in all respects.,0
933,I can 't believe a high end hotel that prides itself in customer service would actually offer a guest to give up 2 rooms on the 5th floor that 's ready for an early check in so that they can wait without a room for another four hours and can get a higher room on the 6th floor!,0
35137,We'll definitely come back and suggest this to our friends and family.,0
24512,A beautiful fountain show takes place near the hotel at night.,0
46017,Admittedly we only stayed at the Marina Bay Sands for use of the spectacular infinity pool and it lived up to our expectations and more!,0
56662,"Ok to stay for 1-2 nights, but more would be to much.",0
15501,Try to get there first thing in the morning when they open (6am) when it's still empty.,1
34115,"I simply can't put into words how each member of staff made us feel, the whole experience was simply fantastic and I would definitely go back there.",0
53237,"Breakfast was served in Club55 and was excellent, the bacon was superb the best we had ever had it, it just melted in your mouth.",0
35114,Try to get a package as it is expensive.,1
67214,"so no one tries to pull a fast one and try to bring in no hotel visitors in without permission, pool hours are from 6am-11PM.",0
28522,Didn 't manage to try any restaurants.,0
68796,One of the amenity that i really want to try before we check-out is the infinity pool (they have 3!,0
5194,Will definitely consider my go-to location for future Singapore visits!,0
44962,Overall this was a great experience that we wanted to do once but is an extremely crowded and huge hotel and very expensive.,0
57001,We chose to pay an upgrade cost to have a city view club room (which we could have immediately) and this was well worth it.,0
67276,We might be bias due to the special treatment we received but I would recommend this hotel to anyone - splash out!!,1
19704,"Perhaps hotel management could consider introducing internet check-in, just like the airlines, to speed up the process?",1
28402,"The room was very clean, spacious, and had the quality you would expect.",0
45577,Good viewing spots for both sides of the hotel.,0
13196,"I could fault nothing - the staff were amazing, our room spotless and the view incredible, the Hotel is just Wow!",0
58796,"The section of pool nearest to tower 3 is adult only, but some kids who don't understand this do get in, but the staff try to react to this.",0
8261,It was a very warm day with high UV levels when we went so I would advise bringing sunblock lotion etc.,1
63090,I would reccommend MBS to anyone wanting that WOW factor or celebrating a special occasaion.,0
34825,"The hotel has lots of facilities, lots of restaurants but the price goes with the clientele they are after - which isn't someone who is broke... make of this review what you will.",0
23285,Would love to be back one day.,0
58616,It was unfortunate that the haze was so thick because the views are probably outstanding.,0
27402,"Well Done MBS :) Have been to so many luxury hotels and your employees are very well trained to delight customers..  + Conveniently located / Connected to EXPO, Shops and Restaurants  +",0
3937,You can opt for Rise (in the lobby) or Spago (55th floor).,0
53270,"Service was sometimes slow and especially ordering things (ie. pillows/sheets) to the room took over an hour, but I guess you would expect that from such a large hotel.",0
27749,"so try to get up there early, or later on in the evening.",0
59115,"I recommend the experience because of the pool, it is worth for at least one night, but if you want a warmer reception, Marina Bay Sands is not the best place.",0
31117,"The service was pretty good, my only complaint would be the cost.",0
50626,Would definitely return.,0
19254,"I'm not saying this to drive you away from this hotel, being able to swim in the pool on top of the city of Singapore was well worth the so-so room.",0
10592,even if you asked they said they do not have.,0
52714,A great one stop place in Singapore.,0
68398,The staff is friendly and helpful.,0
59918,Make sure you look up for a good room in advance.. one with their garden facing view..,1
24708,and i think that is part of the attraction.,0
29653,"I would like to give it four and a half stars, but this rating does not exist.",0
33082,Loved sitting next to the pool as the view is amazing the only thing they could do is make the deck chairs more comfortable.,1
58470,"Rooms were sadly...normal, i stayed 2 different rooms none had balcony (there might be different room category which i did not have chance to stay).",0
19524,visited the Marina Bay sands to enjoy the mall and Casino.,0
45326,Hope we do not need to wait for too long.,0
16039,The service provided was exceptional.,0
26316,We decided at check-in to see if we could change it to the City View since it would be amazing to see the sunset and city lights turn on at night.,0
15955,"Overall, impressive, but expensive, and no better than other good 3 star/4 star hotels that we have stayind in.",0
40615,"Quite to my surprise, despite the scale of the hotel, there are personal touches, but when in public areas, such as the lobby or the worlds largest rim flow pool, you can feel overwhelmed by the sheer amount of people.",1
15116,"The room was fantastic, clean and spacious.",0
8117,Best breath taking view...,0
40498,"Overall, I would always book this experience again-",0
3295,The bed was comfy and the bathroom had very nice amenities!,0
43164,I'll post pics when I transfer from my GoPro.,0
