sentence_id,sentence_text,label
15480,"The room was spacious and extremely comfortable, serviced daily and I was provided with more than I needed.",0
45314,"when you travel, staying this hotel is  MUST and .DUTY.",0
24512,A beautiful fountain show takes place near the hotel at night.,0
7894,"would recommend this hotel, you need to see it .",0
33324,"I don't know, as we would happily have paid more to get what we thought we were getting.",0
50093,Don't attempt the mini bar unless you want to pay through the nose and I would also recommend eating outside of the hotel as our one sandwich with crisps cost over $20.,1
57001,We chose to pay an upgrade cost to have a city view club room (which we could have immediately) and this was well worth it.,0
58616,It was unfortunate that the haze was so thick because the views are probably outstanding.,0
6035,If I were to return to Singapore I would definitely stay here again.,0
933,I can 't believe a high end hotel that prides itself in customer service would actually offer a guest to give up 2 rooms on the 5th floor that 's ready for an early check in so that they can wait without a room for another four hours and can get a higher room on the 6th floor!,0
38558,Make sure your in tower one or two.,1
33340,Also if they could find a way to stop people just leaving their towels on the pool deck chairs all day then that would make it more fair for everyone.,1
38093,This we had a light dinner included.,0
33251,"Would we stay again, I think we would.",0
30714,There are less people and you 'll get to enjoy the view of the iconic buildings.,0
64552,My husband and I truely enjoyed our stay here and would recommend to anyone to stay a few nights here!,0
19872,Also once you enter the bar that is up there you cant exit back onto the observation desk for some reason or other.,0
49895,"And i think the beer prices must have gone up ,",0
60756,I recommend this hotel as there's lots to do in and around and the rooftop pool is a must to swim in and take in the view....but chances are I would probably find alternative accommodations when I'm back in Singapore next.,1
16669,I could easily have doubled that if I could have afforded it.,0
41935,We thoroughly enjoyed staying in this opulent hotel.,0
68347,"I like the room very much, I wa with my sister and dad.",0
26333,"I 'm not sure if you would call the pool area  u201crelaxing, u201d",0
33082,Loved sitting next to the pool as the view is amazing the only thing they could do is make the deck chairs more comfortable.,1
33823,"Whereas at other hotels, you'll probably be looking only from behind the window glass.",0
34832,"Not cheap, but a must do - suggest 2 nights minimum to cover all aspects.",1
8261,It was a very warm day with high UV levels when we went so I would advise bringing sunblock lotion etc.,1
36877,we loved the pool and shops at this hotel.,0
32270,Room was as described and expected and overlooked the bay from where we could see the evening water/light show.,0
15747,What I didn 't expect was the level of service at such a huge hotel.,0
50626,Would definitely return.,0
5540,These gardens have a light show nightly we could watch perfectly from the balcony of our room.,0
43484,Check in was fairly slow and took us about 15 minutes.,0
35114,Try to get a package as it is expensive.,1
38650,"The bed was very comfortable, the room was very spacious and seem to have everything in it to accommodate your needs.",0
63090,I would reccommend MBS to anyone wanting that WOW factor or celebrating a special occasaion.,0
38236,It is an amazing hotel great experience.,0
23947,Pros:  -great location.,0
66564,The first night I wanted a quick drink and to check email before I met a colleague but could not find space to put a laptop down.,0
51400,My only small wish is that they would leave a little space in the mini bar to put some fresh milk but that's a minor issue in an otherwise wonderful resort with everything from simple Dim Sum restaurants to celebrity chef restaurants.,1
19552,"because on the qualifying day we decided to be up in the bar instead of being on the track, so we chose to be in ce la vie, however on entering, the hostess told us that for us to find a table our minimum spend per person should be $250.",0
66446,.make sure you have plenty of money you will need it.,1
50122,"Rooms are as usual all well maintained and very clean, sheets beds all up to top standard you would expect.",0
39670,Excellent in all respects.,0
62095,The only negative I could say was the room service ordered by us on 29th night where the club sandwich was dry and the chicken was tasteless but everything else was so good I guess the 71.00 SGD spent on it can be overlooked,0
28522,Didn 't manage to try any restaurants.,0
47766,As is the pool.,0
8801,"Either be a world class hotel or a Disney land attraction, but don 't try and be both.",1
35610,We got the Club Room with City views at a reasonable price.,0
31051,"Make sure you leave time to explore - there are cool things everywhere like the mirrors on the outside that move with the wind, or the fountain that looks like a big    ""water pinball   "" wall near the pick up zone outside tower 3.",1
24053,Room service staff were always prompt and very friendly and the housekeeping staff would always leave some cute little friends made out of towels/face cloths :),0
9436,"We recently stayed in Singapore for 4 nights, 3 in a hotel on Clarke Quay and the last night in MBS, basically because that 's all we could afford!!",0
46444,Reservation rules should be put in place to allow for fairness.,1
50574,"and I was among the lucky ones that could check in 3h earlier than the usual check-in time 3pm, which I think is freaking late.",0
31117,"The service was pretty good, my only complaint would be the cost.",0
17275,I book the Orchard Suite with City View in Mid. June at Agoda.com for my son's Birthday.,0
24056,"The room we had was amazing, I recommend to ask for a room with a city view on a high floor.",1
50010,The views at night are spectacular with day views almost as good.,0
53888,"This massive hotel is one of those    ""bucket list   "" destinations - stay there, even if only to tick it off your list.",0
19254,"I'm not saying this to drive you away from this hotel, being able to swim in the pool on top of the city of Singapore was well worth the so-so room.",0
57520,We had 3 people in one room and the third had a foldout bed which was a little disapointing but was still comfee,0
30995,For me this was the best part.,0
49557,Everyone had a camera in hand and capturing pictures.,0
51976,Would recommend this hotel to anyone while they are visiting Singapore!,0
52359,It felt quite chaotic.,0
