sentence_id,sentence_text,label,annotator
40752,You also need to ensure that nobody attempts to move or take out any items in the fridge as you will be billed automatically.,1,leah
43493,Bayfront MRT is also close to the hotel.,0,leah
4235,I would suggest the house keeping team could prepare a pair of scissors for guests to use in room.,1,leah
14011,"All in all it was a wonderful stay, but very expensive for what it was.",1,leah
32237,No need to say about amazing view and good cocktails!,0,leah
5679,Mind well..if you are off to the airport from the hotel...most of the taxi companies have a fixed price,0,leah
60337,And it should all be great,0,leah
22289,"Service was invented in this city and it should be mandatory for any American Hotel management training to spend some time here understanding the art of service, that isn't tip driven.",0,leah
40615,"Quite to my surprise, despite the scale of the hotel, there are personal touches, but when in public areas, such as the lobby or the worlds largest rim flow pool, you can feel overwhelmed by the sheer amount of people.",1,leah
11110,"And the rooftop pool,  unbelievable.",0,leah
37092,"In many other places people would occupied the chairs and go away and not use them, so in Marina bay this is not the case :-)",1,leah
67741,"If you are lucky enough to go to Singapore, the cherry on top would be to stay in this jewel of the hospitality industry and bathe on one of the most magnificent infinity pools on the 58th floor.",0,leah
31115,I don't think I had appreciated the sheer scale of the place and realized just how much it would feel like a huge Las Vegas hotel (I guess the clue was in the name!).,0,leah
2798,"With three rooms to manage, I ended memorising the booking reservation codes for all three rooms because you need to key them in for every little booking or tweaks you want to make.",1,leah
40498,"Overall, I would always book this experience again-",0,leah
26316,We decided at check-in to see if we could change it to the City View since it would be amazing to see the sunset and city lights turn on at night.,0,leah
47286,"Breakfast, Afternoon Tea and Cocktails are available during certain times of the day in Club 55 and all apart of the Club Room rate.",0,leah
50973,The city view was spectacular at night and bed was fantastically comfortable.,0,leah
36132,This was the only fault we could find with the hotel - no late night restaurants or if there was it wasn't advertised very well and the staff didn't know about it.,1,leah
44427,The accommodation is just sensational.,0,leah
8078,"Everyone knows about the pool on top, and it certainly doesn't disappoint, but there's a lot more to this property and our stay there really put the finishing touch on a perfect honeymoon.",0,leah
5194,Will definitely consider my go-to location for future Singapore visits!,0,leah
15317,I stayed here for 5 nights on my last trip and it could not have been better.,0,leah
43124,I didn't try any fine dining because I just wanted simple tasty local food.,0,leah
44312,Also the amount the block as a deposit ( cash or credit card ) is a larger sum which people should be aware of,1,leah
69140,One of the finest building in Singapore which has lots of great clubs to visit.,0,leah
3335,"What surprised me is the late check-in time, only starting at 3 pm and the early check-out at 11 am.",1,leah
41502,The food for in room service are also good.,0,leah
30050,Sky desk & sky bar are both worth for going no matter in the day time or the night (make sure you wear some jackets) with the winds are quite big.,1,leah
29035,Our check in was fast and after  10 minutes we were in our room.,0,leah
21803,"We had a meal in Ce La Vie the hotel fine dining restaurant on 57th floor, again menu, food and service was stunning.",0,leah
50251,"However for Muslim travellers, please note halal eating options around the place are very limited - only Texas Chicken and McDonalds are halal certified and both are based in the cloud forest / super tree grove area and a 15 minute walk in super heat and humidity.",1,leah
11738,I could go on and on brilliant.,0,leah
13196,"I could fault nothing - the staff were amazing, our room spotless and the view incredible, the Hotel is just Wow!",0,leah
66921,You will not be disappointed with this hotel!,0,leah
69389,"The check out also you could do from Your room, because the line on the front desks are big.",1,leah
5529,"The lobby is alot like a Las Vegas hotel:  bustling, loud, almost over-stimulating.",0,leah
64885,Could not fault the service or the food.,0,leah
10693,"The swimming pool has one of the best views in the world but unfortunately it gets very crowed and in turn it looses the ambiance, hence why we have never wanted to swim in the pool.",1,leah
7547,The view was wonderful and worth it.,0,leah
68398,The staff is friendly and helpful.,0,leah
25025,Mostly you have to wait for ten to twenty minutes during the morning but the staff is very efficient and once you are seated you only have to enjoy a great breakfast.,1,leah
19113,Pool:  Now onto the main event and probably the main reason everyone stays here - THE POOL.,0,leah
5481,"If you have the time and money to spend (not just for the viewing deck), maybe a special occasion, please stay here to experience the service, warmth, cleanliness, cuisine, infinity pool and breathtaking views of this iconic hotel.",0,leah
24008,"Other than that, the corridors downstairs to the metro and shops I found really confusing and with poor signage.",1,leah
12814,The reason I keep on coming back is for the sake of the view and the infinity pool.,0,leah
22291,Thank you for day 1 perfection.,0,leah
6409,The room is super spacious with amazing view of the skyline and harbourfront.,0,leah
10952,Lots of places to choose to eat at including the breakfast buffets in the morning.,0,leah
21522,The mall attached to the hotel is massive but generally empty-ish.,1,leah
61433,The water quality was quite poor on the day I visited (Summer weekdays).,1,leah
14031,"2,500 rooms.",0,leah
53237,"Breakfast was served in Club55 and was excellent, the bacon was superb the best we had ever had it, it just melted in your mouth.",0,leah
36077,"Shoppes by the bay (the adjoining shipping mall) offer a similar mark up so if you were restricted  to the immediate vicinity,  you could spend a small fortune.",1,leah
28240,"Unfortunely we were given a room on the 6th floor, not high at all.",0,leah
22854,Recommend this place if anyone is visiting Singapore.,0,leah
7607,"Oh, and by the way",0,leah
20010,Would love to go back.,0,leah
27749,"so try to get up there early, or later on in the evening.",0,leah
48987,"Our twin room had 2 large comfortable double beds, desk, plenty of wardrobe and luggage space, tv and a floor to ceiling window looking on to the Marina.",0,leah
37561,The infinity pool is amazing and so is the shopping experience .,0,leah
51019,Staff were always helpful & provided a cake for a recent birthday!!!,0,leah
40823,It should be said that it is probably one of the most expensive areas of Singapore.,0,leah
65382,"but that's what it was built for i suppose :)    overall a great experience, it is totally worth the money.",0,leah
55077,The service is not personnalized as there are too many people and we got several different answers at  the same question.,1,leah
39931,"I recommend a city view, but the seaview rooms have balconies, which is a plus.",0,leah
32626,Receptionist Service : 80%   MBS became tourist attraction and felt like im doing a favor while checking in     MBS Skypook : Limited to # of person per room,1,leah
50538,"The swimming pool on the roof is amazing, better go there EARLY in the Morning.",1,leah
14792,"There are all these theories about the best time to go to the pool,  ie between the hours of check out and check-in and other wives tales.",1,leah
24708,and i think that is part of the attraction.,0,leah
40104,"Whatever I've asked them, they always recommended me offers from themself or their partners.",0,leah
64179,I booked in and the lovely Thersa could not be nicer or more efficient.,0,leah
33931,We got an upgrade to the 31st floor and got our room early upon arriving.,0,leah
52892,The highlight of this hotel is the infinity pool which is built on top of the building roof...,0,leah
40852,"He said it was opened yesterday and it could not be poured tomorrow, so we were welcome to the lot.",0,leah
