sentence_id,sentence_text,label,annotator
53969,"To top it off, the city was preparing for the Formula 1 race, so everything was lit up at night.",0,chase
9376,Could watch the light show from it.,0,chase
36374,I would rate as the best.,0,chase
39368,The experience of my stay was one of the best I will totally go there again.,0,chase
24977,I strongly recommend anyone to stay at MBS when they visit Singapore from overseas or even just for a staycation or a special occasion!,0,chase
38070,"You can then donate your money to the world's largest atrium casino with 500 tables and 1,600 slot machines.",0,chase
48569,That view!!,0,chase
47682,"She asked if we would walk her to the gate entrance to the pool, use our key and let her out of the pool.",0,chase
24863,We had booked a transfer from our flight and they met us at the airbridge!,0,chase
57121,"I liked it, but would stay at a smaller hotel next time around.",0,chase
63412,"Recommend upgrading to a club room and making use of the club lounge for breakfast, afternoon tea and pre dinner drinks.",1,chase
58470,"Rooms were sadly...normal, i stayed 2 different rooms none had balcony (there might be different room category which i did not have chance to stay).",0,chase
67876,Marina Sands also has a theatre and Cats was playing but we did not get around to watching that.,0,chase
67276,We might be bias due to the special treatment we received but I would recommend this hotel to anyone - splash out!!,1,chase
22436,Facilities were clean and well maintained  The Infinity Swimming Pool was the best highlight for my kids.,0,chase
56823,Access to the mall is very good.,0,chase
22197,No express check out like most hotels in Europe.,0,chase
20075,The food was simply perfect and was so plentiful it meant that the two days we were there we didn 't need to eat anywhere else.,0,chase
43594,We visited Raffles and next time I would stay there.,0,chase
13057,We highly recommend the hotel and we really appreciated the services provided by the friendly staff.,0,chase
12043,"Rooms are reasonably clean, blandly dressed and not in brand new condition with reasonable wear and tear, the design layout is impractical in part (bathroom and toilet lights are located next to door, toilet and shower should have been reversed)",0,chase
52114,all the facilities you could want with a high standard.,0,chase
48428,"We also went to one of their roof top fine dining restaurants, again, 10/10!",0,chase
41990,Many breakfast options although Rise remains to be the best.,0,chase
33456,It was an unforgettable trip and I would to thank all of the staff for treating us so well.,0,chase
48263,"Probably would not come back here due to cost, but this is a great opportunity.",0,chase
60195,Would stay again next year if possible !!,0,chase
34115,"I simply can't put into words how each member of staff made us feel, the whole experience was simply fantastic and I would definitely go back there.",0,chase
39121,"We went up to the pool just after we checked in, it was really busy we couldn't even get a bed at first then managed to get one looking over the gardens of the bay but because we wanted to get a good sunset video we moved to the city line view when beds were available.",0,chase
8876,The infinity pool is amazing and if you stay at the hotel just to swim in that pool it would be well worth it.,0,chase
61285,"The check-in staff was very polite and friendly; after finding out i had friends from overseas who would be staying with me, she upgraded me to a marina suite (1 size bigger).",0,chase
19524,visited the Marina Bay sands to enjoy the mall and Casino.,0,chase
10592,even if you asked they said they do not have.,0,chase
45326,Hope we do not need to wait for too long.,0,chase
59548,Absolute comfort within the room and in every corner of the hotel.,0,chase
66524,We had a room on the 53rd floor with city view.,0,chase
13667,"Checking in was long, but I could not blame them because my reservations were complicated.",0,chase
31266,We got lounges by the pool side and in we went.,0,chase
21854,A big thank you to James!!,0,chase
44962,Overall this was a great experience that we wanted to do once but is an extremely crowded and huge hotel and very expensive.,0,chase
16532,And obviously beer is not free.,0,chase
