sentence_id,sentence_text,label_chase,label_clara,label_leah,label_xiayi,vote_sum,gold_label
15480,"The room was spacious and extremely comfortable, serviced daily and I was provided with more than I needed.",0,0,0,0,0,0
45314,"when you travel, staying this hotel is  MUST and .DUTY.",0,0,0,0,0,0
24512,A beautiful fountain show takes place near the hotel at night.,0,0,0,0,0,0
7894,"would recommend this hotel, you need to see it .",0,0,0,0,0,0
33324,"I don't know, as we would happily have paid more to get what we thought we were getting.",0,0,0,0,0,0
50093,Don't attempt the mini bar unless you want to pay through the nose and I would also recommend eating outside of the hotel as our one sandwich with crisps cost over $20.,1,1,1,1,4,1
57001,We chose to pay an upgrade cost to have a city view club room (which we could have immediately) and this was well worth it.,0,0,1,0,1,0
58616,It was unfortunate that the haze was so thick because the views are probably outstanding.,0,0,0,0,0,0
6035,If I were to return to Singapore I would definitely stay here again.,0,0,0,0,0,0
933,I can 't believe a high end hotel that prides itself in customer service would actually offer a guest to give up 2 rooms on the 5th floor that 's ready for an early check in so that they can wait without a room for another four hours and can get a higher room on the 6th floor!,0,0,1,0,1,0
38558,Make sure your in tower one or two.,1,1,1,1,4,1
33340,Also if they could find a way to stop people just leaving their towels on the pool deck chairs all day then that would make it more fair for everyone.,1,1,1,1,4,1
38093,This we had a light dinner included.,0,0,0,0,0,0
33251,"Would we stay again, I think we would.",0,0,0,0,0,0
30714,There are less people and you 'll get to enjoy the view of the iconic buildings.,0,0,1,0,1,0
64552,My husband and I truely enjoyed our stay here and would recommend to anyone to stay a few nights here!,0,0,0,0,0,0
19872,Also once you enter the bar that is up there you cant exit back onto the observation desk for some reason or other.,0,0,1,0,1,0
49895,"And i think the beer prices must have gone up ,",0,0,1,0,1,0
60756,I recommend this hotel as there's lots to do in and around and the rooftop pool is a must to swim in and take in the view....but chances are I would probably find alternative accommodations when I'm back in Singapore next.,0,1,1,0,2,1
16669,I could easily have doubled that if I could have afforded it.,0,0,1,0,1,0
41935,We thoroughly enjoyed staying in this opulent hotel.,0,0,0,0,0,0
68347,"I like the room very much, I wa with my sister and dad.",0,0,0,0,0,0
26333,"I 'm not sure if you would call the pool area  u201crelaxing, u201d",0,0,1,1,2,0
33082,Loved sitting next to the pool as the view is amazing the only thing they could do is make the deck chairs more comfortable.,1,1,1,0,3,1
33823,"Whereas at other hotels, you'll probably be looking only from behind the window glass.",0,0,1,1,2,0
34832,"Not cheap, but a must do - suggest 2 nights minimum to cover all aspects.",0,1,1,1,3,1
8261,It was a very warm day with high UV levels when we went so I would advise bringing sunblock lotion etc.,1,1,1,0,3,1
36877,we loved the pool and shops at this hotel.,0,0,0,0,0,0
32270,Room was as described and expected and overlooked the bay from where we could see the evening water/light show.,0,0,0,0,0,0
15747,What I didn 't expect was the level of service at such a huge hotel.,0,0,0,0,0,0
