sentence_id,sentence_text,label,annotator
50074,There are two options either garden view or city view.,0,xiayi
55638,Don'f forget to carry your passport if want to try some luck at the casino.,1,xiayi
10519,Absolutely massive and for that reason I would say it feels like more of a business hotel that anything else.,0,xiayi
6438,"We enjoyed access to the famous roof top pool and took an early morning swim - its actually quite peaceful in the morning hours; later on, its a mad house, but what would you expect?",0,xiayi
8117,Best breath taking view...,0,xiayi
12008,Service was superb.,0,xiayi
44653,Would definitely come next trip and bring wifey along and will request a higher floor and maybe the garden view.,0,xiayi
33615,"Food is quite expensive in the mall and hotel, but go to the Sweet Spot for breakfast and lunch.",1,xiayi
5784,Breakfast was great and very large variety for all meal and food preferences.,0,xiayi
15955,"Overall, impressive, but expensive, and no better than other good 3 star/4 star hotels that we have stayind in.",0,xiayi
17926,Shopping area is almost all Gucci / Versace like shops and nothing I would spend money on.,0,xiayi
67214,"so no one tries to pull a fast one and try to bring in no hotel visitors in without permission, pool hours are from 6am-11PM.",0,xiayi
46667,It was so nice to just swim to the edge and look over this wonderful city.,0,xiayi
55288,The infinity pool on top was fun to try.,0,xiayi
46540,All the rooms I saw had a great view.,0,xiayi
45199,"the room was very nice with a vew on the gardens, consider to choose this rather than marina view,which can be experienced from other places as well.",1,xiayi
4009,I just wish they had a way to speed up the process so that guests didnt have to queue for 30minutes.,1,xiayi
19704,"Perhaps hotel management could consider introducing internet check-in, just like the airlines, to speed up the process?",1,xiayi
28402,"The room was very clean, spacious, and had the quality you would expect.",0,xiayi
40977,"We were hoping for something different, some hotels would present a simple cake for couples celebrating their special occasion.",1,xiayi
27036,Be aware if you drink or eat in the hotel it 's very expensive.,1,xiayi
41210,Try rooms over 20th floor with a view to the city.,1,xiayi
52268,We stayed in the Deluxe Room with Garden View.,0,xiayi
9173,Casino for everyone who want to try his luck...  Very kind stuff at the reception and very easy and quick access to gardens by the bay...,0,xiayi
44729,"Don't hesitate to visit it, it's worth it.",1,xiayi
8492,The pool is amazing and the view from the pool is iconic.,0,xiayi
3319,We brought bicycles and we could keep them safely in the storage room right outside of tower 3.,0,xiayi
62298,I would come back and stay again.,0,xiayi
57640,"On the whole though, MBS is a great place to stay and would most definitely like to stay again.",0,xiayi
4370,I would like to compliment your entire staff for being so professional.,0,xiayi
27357,"There is no shuttle to the airport, but even ealry in the morning it should be okay to find a taxi.",0,xiayi
29805,"When I inquired about this I was told to line up at the check in counter as from 11:00 am, if there is a room available you will be directed to that room which we did, we were in the room at 11:15 with our luggage a couple of minutes behind us.",0,xiayi
57173,"I recommend 2 day in The Marina Bay Hotel, is enough to join the pool and the attractions around!",1,xiayi
35137,We'll definitely come back and suggest this to our friends and family.,0,xiayi
31897,"This is a fantastic hotel very welcoming and professional, we wish we could have stayed longer.",0,xiayi
34064,I would dare say it's probably the largest and certainly most photographed.,0,xiayi
62667,"Staff were always polite, smiling and helpful.",0,xiayi
55535,We could see the laser show on the river at night right from the comfort of our hotel room.,0,xiayi
56328,"I would stay here again, although it was expensive, the facilities in the hotel make it worth it.",0,xiayi
4055,It was a staycation and would say the money was worth it for.,0,xiayi
68397,Was greeted warmly and check in was a breeze.,0,xiayi
65533,The view from the room and the rooftop restaurant/bar is amazing and the infinity pool is definitely a must!!,0,xiayi
4661,We would never dream of experiencing such an amazing stay because of him !,0,xiayi
26717,The staff are very friendly and accommodating.,0,xiayi
37521,This place has over 2300 rooms and in the downstairs lobby you feel like an ant,0,xiayi
14898,"The New Year 's eve party at Lavo was a bit chaotic at first (rather go watch the fireworks at the pool) but after midnight it got so much better, we had lots of fun!",1,xiayi
47767,"Food is excellent ,plus friendliness of staff .Everyone was so helpful and I fully recommend their Sunday buffet lunch .",1,xiayi
51601,With shopping & dining galore it's practically a one stop paradise.,0,xiayi
5802,Worth staying just to use the infinity pool!!!,0,xiayi
63852,"Checking out was fast, and again, the people who handled my bags were the genuine ones helping us keep our bags while we checked out, and assisted us all the way till we got our cab to head to the airport.",0,xiayi
54213,We had a large room on 38th floor with a great view of Singapore skyline and across    Would definitely stay again,0,xiayi
11668,"Spending 7 days in the Maldives I didn't think our trip could be topped , as we arrived late into Singapore (there were 9 of us)",0,xiayi
43388,You need to experience this hotel at least once in your life and I did it.,1,xiayi
9972,We relaxed in the infinity pool in level 57 and it 's a great experience.,0,xiayi
29515,Every evening in this hotel Anna who was one of the evening hosts would stop by and ask us what we had done that day.,0,xiayi
18394,The most famous Singapore Sling a must try too.,1,xiayi
62852,"At the Club Lounge later, the ladies manning the desk there were horrified at how I was treated.",0,xiayi
15380,"We spent the bulk of the day poolside on the 57th floor, this was a memorable experience, the pool glass-walled infinity pool is indescribable so I won 't even try.",0,xiayi
33644,"We have received higher floor room but with Gardens by bay view, which was still amazing, and it had small balcony.",0,xiayi
51502,All UK plugs throughout Singapore.,0,xiayi
8458,the price was good,0,xiayi
27402,"Well Done MBS :) Have been to so many luxury hotels and your employees are very well trained to delight customers..  + Conveniently located / Connected to EXPO, Shops and Restaurants  +",0,xiayi
13586,Not many people swimming though just seems everyone is taking selfies.,0,xiayi
40145,before coming to MBS I read most of the reviews good and bad but I must say once I got there I could see for myself it is the best place to stay in Singapore yes check in can be a little challenging,0,xiayi
2051,"Great service, amazing food and such a great location.",0,xiayi
54865,One of the best hotels I have ever seen.,0,xiayi
64214,"Also, it might be worth getting the club rooms as well as you get added bonuses in the Club Lounge.",1,xiayi
9989,That would be a YES!!!,0,xiayi
21611,A pleasure of mind and body.,0,xiayi
61382,"A special mention goes to David the Food & Beverage Assistant Manager was so thoughtful we were waiting to be seated for breakfast and had to wait a while because of the volume of people , he went and got a chair for my daughter , very attentative and professional.",0,xiayi
45248,"Totally commend this hotel what an amazing place, would definitely recommend to anyone going to Singapore, top star rating, thank you for such a fab stay",0,xiayi
68796,One of the amenity that i really want to try before we check-out is the infinity pool (they have 3!,0,xiayi
59918,Make sure you look up for a good room in advance.. one with their garden facing view..,1,xiayi
32659,"It Was Very Amazing Hotel, I came to Singapore second times and have a chance to visit and stay here.",0,xiayi
7750,But anyways stunning view there,0,xiayi
